title,cites,year,pubid,id
Estrategias de acompañamiento familiar para el restablecimiento de derechos de la niñez en el contexto de Hogares Sustitutos,10,2012,mVmsd5A6BfQC,2-25
Participación y organización: un camino hacia la inserción de la población desplazada en la ciudad de Medellín,9,2007,IjCSPb-OGe4C,2-26
Exclusión social y pobreza: perspectivas teóricas y percepciones de jóvenes excluidos de la ciudad de Medellín,7,2017,zYLM7Y9cAGgC,2-27
Condiciones socioeconómicas de las familias en contextos de Hogares Sustitutos.: Una problemática latente,7,2012,WF5omc3nYNoC,2-28
Políticas lingüísticas colombianas: aciertos y desaciertos,6,2020,Wp0gIr-vW9MC,2-29
"Redes de migrantes y la creación de organizaciones socioeconómicas Estudio de una experiencia en Medellín, Colombia.",5,2013,d1gkVwhDpl0C,2-30
Organizaciones de población desplazada en la construcción de presentes y futuros dignos,5,2010,Y0pCki6q_DkC,2-31
Algunos apuntes sobre la participación de la población desplazada en la ciudad de Medellín,5,2008,8k81kl-MbHgC,2-32
Políticas públicas y jóvenes desplazados en medellín: una mirada desde los contextos de exclusión,4,2012,9yKSN-GCB0IC,2-33
Tramas de la libertad y la igualdad: experiencias de mujeres excombatientes de las FARC-EP,3,2020,QIV2ME_5wuYC,2-34
Experiencias participativas en familias desplazadas de Moravia y Altos de la Virgen,3,2013,Tyk-4Ss8FVUC,2-35
Autenticidad y debido proceso en los mensajes de Whatsapp: Una revisión en los casos de divorcio,1,2021,IWHjjKOFINEC,2-36
Experiencias corporales de mujeres excombatientes de las FARC-EP. Un análisis de género,1,2021,4DMP91E08xMC,2-37
La construcción de factor comunidad en las organizaciones de población desplazada (opd) de Medellín,1,2012,hFOr9nPyWt4C,2-38
Revisión del cumplimiento del ODS-5 (igualdad de género) en el contexto colombiano,0,2022,mB3voiENLucC,2-39
Ciudadanía de las mujeres: una revisión desde la ciencia política,0,2021,ZeXyd9-uunAC,2-40
Freedom and Equality Frames: Experiences of Ex-combatants Women from FARC-EP,0,2020,3fE2CSJIrl8C,2-41
Construcción de ciudadanía de las mujeres excombatientes de las FARC-EP,0,2018,YsMSGLbcyi4C,2-42
Ciudadanía de mujeres excombatientes: una aproximación al contexto teórico y contextual con enfoque de género,0,2018,W7OEmFMy1HYC,2-43
"La cultura Política de los Jóvenes del barrio La Cruz, Medellín. Un análisis de sus universos políticos",0,2017,eQOLeE2rZwMC,2-44
"MIGRANT NETWORKS AND SOCIOECONOMIC ORGANIZATIONS CREATION STUDY OF AN EXPERIENCE IN MEDELLIN, COLOMBIA",0,2013,u-x6o8ySG0sC,2-45
La construcciÃ³n de factor comunidad en las organizaciones de poblaciÃ³n desplazada (opd) de MedellÃn,0,2012,qjMakFHDy7sC,2-46
Organizaciones de población desplazada en la construcción de presentes y futuros dignos,0,2012,UebtZRa9Y70C,2-47
The construction of the community factor in organizations of displaced communities in medellin (Colombia),0,2012,9ZlFYXVOiuMC,2-48
The construction of the community factor in organizations of displaced communities in Medellin,0,2012,UeHWp8X0CEIC,2-49
Organizations of Displaced Persons for the Construction of a Dignified Present and Future,0,2010,u5HHmVD_uO8C,2-50
En la búsqueda del restablecimiento de derechos. Organización de población desplazada en las ciudades de Bogotá y Medellín,0,2009,Se3iqnhoufwC,2-51
Algunos apuntes sobre la participación de la población desplazada en la ciudad de Medellín,0,2008,ufrVoPGSRksC,2-52
"Trayectorias de empresarismo social Medellín, 2005-2007: investigación cualitativa en la modalidad de sistematización social.",0,2008,2osOgNQ5qMEC,2-53
MUJERES EXCOMBATIENTES DE LAS FARC-EP: EXPERIENCIAS Y SIGNIFICADOS DEL ESPACIO PÚBLICO-PRIVADO1,0,NA,_kc_bZDykSQC,2-54
MUJERES EXCOMBATIENTES DE LAS FARC-EP: TENSIONES Y RECONFIGURACIONES DEL ESPACIO PÚBLICO Y PRIVADO,0,NA,Zph67rFs4hoC,2-55
Volumen N. 5,0,NA,MXK_kJrjxJIC,2-56
de Medellín (colombia),0,NA,roLk4NBRz8UC,2-57
POBREZAS EN EL BARRIO: LA MIRADA QUE TIENEN JÓVENES DE TRES SECTORES VULNERABLES EN LA CIUDAD DE MEDELLÍN1,0,NA,LkGwnXOMwfcC,2-58
SISTEMATIZACIÓN DE EXPERIENCIAS PROYECTO:“ASOCIACIÓN DE MEDIOS DE COMUNICACIÓN CIUDADANOS Y COMUNITARIOS DE MEDELLÍN-LA REDECOM–“,0,NA,_FxGoFyzp5QC,2-59
"Infancias migrantes: territorios, trayectos y desplazamientos en"" Montacerdos"", de Cronwell Jara/Childhood Migrants: Territories, Journeys and Displacements, in Cronwell Jara's …",6,2017,u-x6o8ySG0sC,2-60
Pombo “el poeta de los niños” o un héroe cultural,1,2016,9yKSN-GCB0IC,2-61
Displaced Childhood in Francisco Leal Quevedo’s El mordisco de la medianoche,0,2022,Y0pCki6q_DkC,2-62
Infancias desplazadas en El mordisco de la medianoche de Francisco Leal Quevedo,0,2022,IjCSPb-OGe4C,2-63
Formación ciudadana y participación infantil en contextos municipales: desafíos para la educación inicial,0,2022,W7OEmFMy1HYC,2-64
Reflexión sobre los contextos de participación en el municipio de Girardota: retos para la educación inicial,0,2021,Tyk-4Ss8FVUC,2-65
From narratives of violence to narratives of forgiveness: an approach from Colombian journalistic chronicles,0,2021,zYLM7Y9cAGgC,2-66
De narrativas de la violencia a narrativas del perdón: aproximación desde crónicas periodísticas Colombianas,0,2021,qjMakFHDy7sC,2-67
"Relatos de las infancias migrantes. Trayectos de una infancia desplazada en"" Mambrú perdió la Guerra"" de Irene Vasco",0,2015,d1gkVwhDpl0C,2-68
"Crianza de uno, crianza de todos",0,2011,2osOgNQ5qMEC,2-69
LA SUBJETIVIDAD DE LA NIÑEZ MIGRANTE: UNA MIRADA CRÍTICA Y CULTURAL,0,NA,UeHWp8X0CEIC,2-70
Sociedad por acciones simplificada (SAS) flexibiliza el sistema societario en Colombia,15,2013,IjCSPb-OGe4C,2-71
Prácticas contables y tributarias que adoptan los pequeños negocios en Colombia,6,2019,u5HHmVD_uO8C,2-72
"Medio ambiente, sociedad, ética, auditoría y educación. La Investigación Contable en UNIMINUTO Virtual ya Distancia: Contexto y Oportunidades.",0,2022,W7OEmFMy1HYC,2-73
Eficacia del sistema tributario bajo las pretensiones del legislativo: análisis de los objetivos propuestos en la Ley 1607 de 2012 y la Ley 1819 de 2016,0,2021,9yKSN-GCB0IC,2-74
Eficacia Jurídica y Sociológica de la Norma Tributaria en Colombia,0,2021,zYLM7Y9cAGgC,2-75
Acercamiento teórico a la constitucionalidad del sistema tributario colombiano,0,2021,_FxGoFyzp5QC,2-76
Eficacia Jurídica y Sociológica de la Norma Tributaria en Colombia.,0,2021,WF5omc3nYNoC,2-77
Acercamiento teórico a la constitucionalidad del sistema tributario colombiano,0,2021,Y0pCki6q_DkC,2-78
Approach to the social perception of the Colombian tax system based on a theoretical review,0,2020,ufrVoPGSRksC,2-79
Memorias de responsabilidad social. Edición 1,0,2019,eQOLeE2rZwMC,2-80
LA EDUCACIÓN DENTRO DEL MARCO DE LAS PRETENSIONES DE LA AGENDA 2015-2030,0,2019,qjMakFHDy7sC,2-81
conflicto armado colombiano,0,2018,Tyk-4Ss8FVUC,2-82
Atención humanitaria,0,2018,UeHWp8X0CEIC,2-83
Theoretical approach to the constitutionality of the Colombian tax system,0,NA,YsMSGLbcyi4C,2-84
Incidencia de las medidas de formalización empresarial desde la perspectiva contable y tributaria en el desempeño de los negocios barriales: el caso de la Comuna 10 de Medellín,0,NA,d1gkVwhDpl0C,2-85
La auditoría fiscal bajo el enfoque del justo tributo The fiscal auditory focusing on the same fear tribute,0,NA,u-x6o8ySG0sC,2-86
"La lucha contra las drogas: fracaso de una guerra, comienzo de una nueva política",85,2016,Tyk-4Ss8FVUC,2-87
"La responsabilidad social empresarial en las empresas del sector minero de metales preciosos Medellín, Colombia",1,2020,QIV2ME_5wuYC,2-88
El COVID-19 y sus efectos en torno a la desigualdad en américa latina,1,2020,IWHjjKOFINEC,2-89
Organizational development from a new reality derived from the impact of Covid-19 a conscious look at a Higher Education Institution in Medellin-Colombia: case study,0,2022,-f6ydRqryjwC,2-90
Diseño de Una estrtegía de Valor compartido para el proyecto Minero dann azul gold,0,2019,Wp0gIr-vW9MC,2-91
Prohibición e interdicción: una mirada errónea del mercado de las drogas,0,2015,roLk4NBRz8UC,2-92
Contabilidad y presupuesto público,0,2013,M3ejUd6NZC8C,2-93
Evaluacion al sistema pensional colombiano: 10 anos despues de su primera reforma,0,2004,qjMakFHDy7sC,2-94
Valor compartido y planeación estratégica: factores de transformación empresarial en el sector minero,0,NA,hC7cP41nSMkC,2-95
El costo de oportunidad y su relación con la toma de decisiones estratégicas1,0,NA,qUcmZB5y_30C,2-96
EL COVID-19 Y SUS EFECTOS EN TORNO A LA DESIGUALDAD EN AMÉRICA LATINA COVID-19 AND ITS EFFECTS AROUND INEQUALITY IN LATIN AMERICA,0,NA,ZeXyd9-uunAC,2-97
Enseñanza de la contabilidad como disciplina académica: Concepciones de ciencias del profesorado y pensamiento crítico,33,2014,qjMakFHDy7sC,2-98
Entre la vida académica y la práctica profesional: problemas en la formación de los contables colombianos,19,2014,9yKSN-GCB0IC,2-99
"Lenguaje pedagógico, filosofía e investigación: Relación con la construcción de pensamiento y cultura académica en contabilidad",10,2012,u-x6o8ySG0sC,2-100
Modelos de conocimiento científico escolar en un grupo de maestros de programas universitarios de Contaduría Pública,9,2016,UeHWp8X0CEIC,2-101
Antecedentes nacionales e internacionales sobre didáctica específica de la disciplina contable en el siglo XXI,4,2017,Y0pCki6q_DkC,2-102
El ejercicio del poder desde la evaluación: un campo de indagación para la evolución de la universidad colombiana,1,2019,hqOjcs7Dif8C,2-103
Construcción de conocimiento científico escolar: una reflexión desde la didáctica sobre enseñanza de las ciencias de la gestión y los estudios organizacionales,0,2020,qxL8FJ1GzNcC,2-104
National and international antecedents on specific didactics of the accounting discipline in the 21st century,0,2017,9ZlFYXVOiuMC,2-105
Antecedentes nacionales e internacionales sobre didáctica específica de la disciplina contable en el siglo XXI,0,2017,LkGwnXOMwfcC,2-106
The teaching of accounting as an academic discipline,0,2017,Se3iqnhoufwC,2-107
Models of school scientific knowledge in a group of university teachers of Public Accountancy,0,2016,IjCSPb-OGe4C,2-108
The teaching of accounting as an academic discipline: Concepts of sciences of professorship and critical thinking,0,2014,2osOgNQ5qMEC,2-109
Problemas éticos del contador público y su relevancia social,0,2009,u5HHmVD_uO8C,2-110
"Modelos de conocimiento científico escolar en un grupo de maestros de programas universitarios de Contaduría Pública*. sophia [online]. 2016, vol. 12, n. 1",0,1794,mVmsd5A6BfQC,2-111
Modelos de conocimiento científico escolar en un grupo de maestros de programas universitarios de Contaduría Pública* Models of school scientific knowledge in a group of …,0,NA,Wp0gIr-vW9MC,2-112
Ajuste Curricular y mejora de procesos académicos en la U Católica Luis Amigó,0,NA,aqlVkmm33-oC,2-113
La importancia del ciclo de caja y cálculo del capital de trabajo en la gerencia PYME,66,2013,qjMakFHDy7sC,2-114
La planeación financiera: un modelo de gestión en las mipymes,52,2014,u5HHmVD_uO8C,2-115
Aplicación de inductores generadores de valor para la gestión en microempresas,23,2016,W7OEmFMy1HYC,2-116
Aplicación de  Inductores Generadores de valor para la Gestión en Microempresas,23,2016,Tyk-4Ss8FVUC,2-117
"MARCO DE REFERENCIA DE LA CONTABILIDAD PÚBLICA GUBERNAMENTAL: DIAGNÓSTICO DEL CUMPLIMIENTO DE LOS PLANES DE SANEAMIENTO FISCAL, FINANCIERO Y CONTABLE DE LOS MUNICIPIOS …",17,2015,IjCSPb-OGe4C,2-118
Situación del Crowdfunding como mecanismo para la financiación de PyMEs en Colombia,15,2017,eQOLeE2rZwMC,2-119
Herramienta “Gerencia del Valor” para el diagnóstico financiero en las Empresas Sociales del Estado,13,2017,Y0pCki6q_DkC,2-120
"Nuevas Alternativas De Financiación, Fondeo Y Préstamos a Sectores No Aptos Para El Sistema Financiero Colombiano (New Alternatives for Financing, Funding and Loan Sectors Not …",10,2014,zYLM7Y9cAGgC,2-121
Sobre la Evaluación Escolar y su Ética,7,2018,WF5omc3nYNoC,2-122
Ospina,5,2013,5nxA0vEk-isC,2-123
"Planeación, gestión y administración exitosa de un proyecto urbano: transmilenio, el caso del sistema de transporte público de Bogotá",5,2004,LkGwnXOMwfcC,2-124
No solo de TransMilenio vivirá el transporte,4,2005,roLk4NBRz8UC,2-125
Sobre el reconocimiento y la otredad en la escuela: una lectura desde Lévinas y Mélich,3,2020,UebtZRa9Y70C,2-126
"Aplicación de los criterios de reconocimiento y medición al momento de identificar errores en la propiedad planta y equipo, inventario y deterioro de cartera de acuerdo con la …",1,2020,Se3iqnhoufwC,2-127
Propuesta de modelo de Revisoría fiscal para cooperativas del sector de transporte terrestre de carga,0,2022,MXK_kJrjxJIC,2-128
Diagnóstico del modelo de generación de valor como herramienta para la gestión financiera en instituciones prestadoras de servicios de salud privadas de tercer nivel de …,0,2022,8k81kl-MbHgC,2-129
El bullying en los escenarios educativos: una posibilidad de repensar el quehacer docente,0,2018,ufrVoPGSRksC,2-130
Barreras legales para la introducción del Crowdfunding en Colombia: análisis comparativo con España,0,2018,YsMSGLbcyi4C,2-131
"Inductores operativos de valor: ebitda y el capital de trabajo (kt), enfocados hacia la medición del crecimiento en metroseguridad empresa industrial y comercial del Estado",0,2009,0EnyYjriUFMC,2-132
Barreras legales para la introducción del Crowdfunding en Colombia: análisis comparativo con España Legal barriers,0,NA,3fE2CSJIrl8C,2-133
La importancia de la planeación financiera en la elaboración de los planes de negocio y su impacto en el desarrollo empresarial,186,2010,qjMakFHDy7sC,2-134
Análisis financiero integral de empresas colombianas 2009-2010: perspectivas de competitividad regional,89,2013,zYLM7Y9cAGgC,2-135
Modelo de gestión financiera integral para MIPYMES en Colombia,83,2009,2osOgNQ5qMEC,2-136
Desempeño financiero empresarial en Colombia en 2009: un análisis por sectores,74,2010,d1gkVwhDpl0C,2-137
Análisis financiero integral: elementos para el desarrollo de las organizaciones,54,2010,hqOjcs7Dif8C,2-138
Efectos financieros en una cooperativa colombiana por la implementación de estándares internacionales de información financiera para las pyme en su balance de apertura,40,2014,ULOm3_A8WrAC,2-139
Análisis financiero integral de empresas colombianas 2009-2012 desde la perspectiva de la competitividad,37,2014,3fE2CSJIrl8C,2-140
Panorama financiero empresarial en Colombia 2009-2010: un análisis por sectores,33,2011,_FxGoFyzp5QC,2-141
Mejores prácticas de auditoría interna para la gestión y el control de activos fijos1,32,2017,eflP2zaiRacC,2-142
Metodologías de valoración de activos tecnológicos. Una revisión,28,2011,u5HHmVD_uO8C,2-143
El carácter estratégico de la contabilidad en las MIPYMES: el contexto colombiano,25,2008,UeHWp8X0CEIC,2-144
Análisis del desempeño financiero por regiones de Colombia 2009-2012: un enfoque de evaluación de competitividad territorial,22,2014,MXK_kJrjxJIC,2-145
Not-invented-here syndrome and innovation performance: the confounding effect of innovation capabilities as organisational routines in service firms,19,2017,b0M2c_1WBrUC,2-146
Evaluación del desempeño de las cooperativas de ahorro y crédito de Antioquia para el periodo 2009-2013,16,2016,4OULZ7Gr8RgC,2-147
Contabilidad para MIPYMES en Colombia “contexto y estrategia”,16,2009,9yKSN-GCB0IC,2-148
Evaluación del desempeño financiero de las regiones en Colombia para el año 2009,14,2013,W7OEmFMy1HYC,2-149
Evaluación del desempeño financiero de las regiones en Colombia para el año 2009,14,2010,eJXPG6dFmWUC,2-150
La investigación formativa en programas de contaduría: el caso de la Universidad de Antioquia,13,2019,7T2F9Uy0os0C,2-151
Es factible en las pymes la valoración y la creación de valor,12,2008,8k81kl-MbHgC,2-152
Madurez de las capacidades de innovación en empresas colombianas,11,2014,0EnyYjriUFMC,2-153
Huellas y devenir contable: construyendo las rutas del pensamiento contable,11,2012,PoWvk5oyLR8C,2-154
El Sistema de Información Contable y las MiPyMEs en Colombia: una relación estratégica,10,2010,IjCSPb-OGe4C,2-155
El campo de la teoría contable. Distinciones centrales para subrayar el papel de la Universidad de Antioquia en el contexto colombiano,9,2012,2P1L_qKh6hAC,2-156
Evaluación del desempeño financiero empresarial por sectores en Colombia en 2011,9,2011,Y0pCki6q_DkC,2-157
Caracterización de la gestión contable y financiera en Mipymes del oriente antioqueño.,8,2017,PR6Y55bgFSsC,2-158
Reflexiones sobre la investigación contable en Colombia,8,2016,OU6Ihb5iCvQC,2-159
Aproximación a la valoración del know how de una institución del sistema regional de innovación en Antioquia,8,2015,r0BpntZqJG4C,2-160
El futuro de las revistas contables colombianas: un debate polifónico,8,2014,g5m5HwL7SMYC,2-161
El futuro de las revistas contables colombianas: un debate polifónico,8,2014,UebtZRa9Y70C,2-162
Importance of financial planning in business plan elaboration and its impact on enterprise development,8,2010,roLk4NBRz8UC,2-163
Prácticas profesionales contables en la empresa privada colombiana 1990-2013,7,2016,pyW8ca7W8N0C,2-164
"Hacia un nuevo planteamiento de la contaduría pública frente a la realidad de las micro, pequeñas y medianas empresas (MIPYMES)",7,2009,Tyk-4Ss8FVUC,2-165
PRESENTE Y FUTURO DE LA INVESTIGACIÓN CONTABLE EN COLOMBIA,6,2017,dTyEYWd-f8wC,2-166
Pequeñas empresas productoras de alimentos de Navojoa y su gestión financiera,6,2016,kuK5TVdYjLIC,2-167
"Rendimiento financiero en empresas productoras de cemento, cal y yeso de Antioquia en el período 2008 al 2013 y su relación con el PIB del sector manufacturero",6,2016,eMMeJKvmdy0C,2-168
"Diagnóstico de la gestión financiera integral en las Mipymes de Navojoa, Sonora",6,2015,z_wVstp3MssC,2-169
Reflexiones sobre la gestión financiera integral en MIPYMES,6,2010,t7zJ5fGR-2UC,2-170
Contabilidad para MIPYMES en Colombia “contexto y estrategia”,6,2009,PELIpwtuRlgC,2-171
El nacimiento de la Red Colombiana de Editores y Revistas Contables,5,2015,XiVPGOgt02cC,2-172
Gestión financiera en las MIPYMES colombianas: diagnóstico y propuestas de mejoramiento en escenarios de competitividad global,5,2012,EYYDruWGBe4C,2-173
Análisis de la implementación de las NIIF en el sector telecomunicaciones colombiano,4,2018,dQ2og3OwTAUC,2-174
El proceso de valoración de intangibles a partir del método del costo: un caso de estudio para el Know How,4,2015,yD5IFk8b50cC,2-175
Algunos aspectos sobre el futuro de la educación contable,3,2017,VOx2b1Wkg3QC,2-176
"Economía, gestión y fútbol: de la pasión a la sostenibilidad financiera",3,2016,u_35RYKgDlwC,2-177
Algunos escenarios de investigación sobre contabilidad financiera en el contexto internacional,3,2013,IWHjjKOFINEC,2-178
El control interno y las tecnologías de la información en las MIPYMES del oriente antioqueño: estado actual de su implementación y oportunidades de mejora,2,2021,tYavs44e6CUC,2-179
"Estrategia para la evaluación, formulación y gestión organizacional de los organismos de acción comunal del municipio de Rionegro, Antioquia",2,2017,V3AGJWp-ZtQC,2-180
Caminos contables,2,2016,Dip1O2bNi0gC,2-181
Caminos Contables,2,2016,BUYA1_V_uYcC,2-182
Un punto de partida para la investigación en contabilidad y finanzas: de la representación financiera a la gestión del valor,2,2016,sSrBHYA8nusC,2-183
"Diagnóstico de la gestión financiera integral en la Mipymes Navojoa, Sonora",2,2015,VLnqNzywnoUC,2-184
Valuation methodologies of technological assets-A review,2,2011,WF5omc3nYNoC,2-185
"Evolución de las prácticas profesionales contables en el relacionamiento de los stakeholders, 2014-2018",1,2020,j8SEvjWlNXcC,2-186
El sector financiero en Colombia tras la implementación del XBRL como herramienta de control,1,2019,fEOibwPWpKIC,2-187
Caracterización de la gestión contable y financiera en Mipymes del oriente antioqueño,1,2017,vDijr-p_gm4C,2-188
"EconomÃa, gestiÃ³n y fÃºtbol: de la pasiÃ³n a la sostenibilidad financiera",1,2016,M7yex6snE4oC,2-189
Caminos contables: problemas y metodologías para el desarrollo de la investigación,1,2016,ldfaerwXgEUC,2-190
Aproximación a la valoración del know how de una institución del sistema regional de innovación en Antioquia,1,2015,fQNAKQ3IYiAC,2-191
El proceso de valoración de intangibles a partir del método del costo: un caso de estudio para el Know How,1,2015,f2IySw72cVMC,2-192
Una aproximación a la contabilidad del capital intelectual en el proceso de toma de decisiones: un estudio en el Oriente antioqueño colombiano,1,2014,u9iWguZQMMsC,2-193
Financial Effects on a Colombian Cooperative due to the Implementation of the International Financial Reporting Standards for SMEs on their Opening Balance,1,2014,Wp0gIr-vW9MC,2-194
Analysis of financial performance by regions of Colombia: 2009-2012: an approach of territorial competitiveness evaluation,1,2014,RYcK_YlVTxYC,2-195
"Corporate financial performance in Colombia, 2009: An analysis by sector",1,2010,XiSMed-E-HIC,2-196
"Corporate financial performance in Colombia, 2009: An analysis by sector",1,2010,eQOLeE2rZwMC,2-197
A IMPORTÂNCIA DO PLANEJAMENTO FINANCEIRO NA PREPARAÇÃO DOS PLANOS DE NEGÓCIO E SEU EFEITO NO DESENVOLVIMENTO EMPRESARIAL,1,2010,-FonjvnnhkoC,2-198
Incidencia de la composición de juntas directivas y su grado de formación en el desempeño financiero de las empresas colombianas,0,2021,VaXvl8Fpj5cC,2-199
FINANCIAL INFORMATION IN MSMES OF EAST ANTIOQUIA (COLOMBIA),0,2021,BwyfMAYsbu0C,2-200
El control interno y las tecnologías de la información en las MIPYMES del oriente antioqueño: estado actual de su implementación y oportunidades de mejora,0,2021,gsN89kCJA0AC,2-201
Adopción de estándares de información financiera en el sector telecomunicaciones: conjeturas a partir de una revisión de literatura,0,2020,0KyAp5RtaNEC,2-202
"Relaciones entre proyecto de vida y organizaciones: una mirada metafórica desde la planeación, la formación y la contabilidad",0,2020,tKAzc9rXhukC,2-203
Clasificación de capacidades organizacionales en organismos comunales de Rionegro-Antioquia,0,2020,LI9QrySNdTsC,2-204
INFORMACIÓN FINANCIERA EN MIPYMES DEL ORIENTE ANTIOQUEÑO (COLOMBIA).,0,2020,ML0RJ9NH7IQC,2-205
Información financiera en mipymes del oriente antioqueño (Colombia),0,2020,URolC5Kub84C,2-206
Dimensiones de la gestión contable y financiera en MIPYMES,0,2020,uJ-U7cs_P_0C,2-207
383 DESEMPEÑO DEL EBITDA EN EMPRESAS COLOMBIANAS QUE COTIZAN EN LA BOLSA DE VALORES A PARTIR DEL NIVEL DE FORMACIÓN Y COMPOSICIÓN DE LAS JUNTAS DIRECTIVAS EN EL PERIODO 2010-2014,0,2018,HE397vMXCloC,2-208
Análisis de la implementación de las NIIF en el sector telecomunicaciones colombiano,0,2018,e_rmSamDkqQC,2-209
Evolución de la contaduría pública en el municipio de Sincelejo-Sucre (1966-2017),0,2017,B3FOqHPlNUQC,2-210
"Estrategia para la evaluación, formulación y gestión organizacional de los organismos de acción comunal del municipio de Rionegro, Antioquia",0,2017,SdhP9T11ey4C,2-211
"EconomÃa, gestiÃ³n y fÃºtbol: de la pasiÃ³n a la sostenibilidad financiera",0,2016,S16KYo8Pm5AC,2-212
Palabras para el profesor Mario Biondi,0,2016,p2g8aNsByqUC,2-213
"Rendimiento financiero en empresas productoras de cemento, cal y yeso de Antioquia en el período 2008 al 2013 y su relación con el PIB",0,2016,pqnbT2bcN3wC,2-214
Desarrollos normativos contables: de la distopía normativa a la utopía regulativa,0,2016,geHnlv5EZngC,2-215
La importante labor colaborativa de las redes de trabajo,0,2016,Tiz5es2fbqcC,2-216
Approche à l'évaluation du know how d'un établissement du système régional d'innovation à Antioquia,0,2015,WZBGuue-350C,2-217
Editorial Edición N° 6,0,2015,_Ybze24A_UAC,2-218
Approximate value of the know-how of an institution of the regional innovation system in Antioquia,0,2015,4JMBOYKVnBMC,2-219
The Future of Colombian Accounting Journals: a Polyphonic Debate,0,2014,HoB7MX3m0LUC,2-220
INTEGRAL FINANCIAL ANALYSIS OF COLOMBIAN COMPANIES 2009-2012 FROM THE COMPETITIVENESS PERSPECTIVE,0,2014,KlAtU1dfN6UC,2-221
Comprehensive financial analysis of colombian businesses 2009-2010: Perspectives of regional competitiveness,0,2013,ufrVoPGSRksC,2-222
Huellas y devenir contable: construyendo las rutas del pensamiento contable,0,2012,BrmTIyaxlBUC,2-223
Financial Overview Business in Colombia 2009-2010: a sectoral analysis,0,2011,LkGwnXOMwfcC,2-224
Evaluación del desempeño financiero empresarial por sectores en Colombia en 2011,0,2011,_B80troHkn4C,2-225
Panorama financiero empresarial en Colombia 2009-2010: un análisis por sectores,0,2011,uWQEDVKXjbEC,2-226
"La factura de venta, una herramienta jurídico-financiera de las empresas",0,2010,9vf0nzSNQJEC,2-227
"Hacia un nuevo planteamiento de la contaduría pública frente a la realidad de las micro, pequeñas y medianas empresas (MIPYMES)",0,2009,lmc2jWPfTJgC,2-228
Modelo de gestión financiera integral para MIPYMES en Colombia,0,2009,738O_yMBCRsC,2-229
Elementos jurídicos para la constitución de empresas en Colombia: generalidades y el caso especial de la sociedad por acciones simplificada,0,2009,KxtntwgDAa4C,2-230
Elementos jurídicos para la constitución de empresas en Colombia: generalidades y el caso especial de la Sociedad por Acciones Simplificada,0,2009,u-x6o8ySG0sC,2-231
