"","title","cites","year","pubid"
"34","Tramas de la libertad y la igualdad: experiencias de mujeres excombatientes de las FARC-EP",3,2020,"QIV2ME_5wuYC"
"35","Experiencias participativas en familias desplazadas de Moravia y Altos de la Virgen",3,2013,"Tyk-4Ss8FVUC"
"36","Autenticidad y debido proceso en los mensajes de Whatsapp: Una revisión en los casos de divorcio",1,2021,"IWHjjKOFINEC"
"37","Experiencias corporales de mujeres excombatientes de las FARC-EP. Un análisis de género",1,2021,"4DMP91E08xMC"
"38","La construcción de factor comunidad en las organizaciones de población desplazada (opd) de Medellín",1,2012,"hFOr9nPyWt4C"
"39","Revisión del cumplimiento del ODS-5 (igualdad de género) en el contexto colombiano",0,2022,"mB3voiENLucC"
"40","Ciudadanía de las mujeres: una revisión desde la ciencia política",0,2021,"ZeXyd9-uunAC"
"41","Freedom and Equality Frames: Experiences of Ex-combatants Women from FARC-EP",0,2020,"3fE2CSJIrl8C"
"42","Construcción de ciudadanía de las mujeres excombatientes de las FARC-EP",0,2018,"YsMSGLbcyi4C"
"43","Ciudadanía de mujeres excombatientes: una aproximación al contexto teórico y contextual con enfoque de género",0,2018,"W7OEmFMy1HYC"
"44","La cultura Política de los Jóvenes del barrio La Cruz, Medellín. Un análisis de sus universos políticos",0,2017,"eQOLeE2rZwMC"
"45","MIGRANT NETWORKS AND SOCIOECONOMIC ORGANIZATIONS CREATION STUDY OF AN EXPERIENCE IN MEDELLIN, COLOMBIA",0,2013,"u-x6o8ySG0sC"
"46","La construcciÃ³n de factor comunidad en las organizaciones de poblaciÃ³n desplazada (opd) de MedellÃn",0,2012,"qjMakFHDy7sC"
"47","Organizaciones de población desplazada en la construcción de presentes y futuros dignos",0,2012,"UebtZRa9Y70C"
"48","The construction of the community factor in organizations of displaced communities in medellin (Colombia)",0,2012,"9ZlFYXVOiuMC"
"49","The construction of the community factor in organizations of displaced communities in Medellin",0,2012,"UeHWp8X0CEIC"
"50","Organizations of Displaced Persons for the Construction of a Dignified Present and Future",0,2010,"u5HHmVD_uO8C"
"51","En la búsqueda del restablecimiento de derechos. Organización de población desplazada en las ciudades de Bogotá y Medellín",0,2009,"Se3iqnhoufwC"
"52","Algunos apuntes sobre la participación de la población desplazada en la ciudad de Medellín",0,2008,"ufrVoPGSRksC"
"53","Trayectorias de empresarismo social Medellín, 2005-2007: investigación cualitativa en la modalidad de sistematización social.",0,2008,"2osOgNQ5qMEC"
"54","MUJERES EXCOMBATIENTES DE LAS FARC-EP: EXPERIENCIAS Y SIGNIFICADOS DEL ESPACIO PÚBLICO-PRIVADO1",0,NA,"_kc_bZDykSQC"
"55","MUJERES EXCOMBATIENTES DE LAS FARC-EP: TENSIONES Y RECONFIGURACIONES DEL ESPACIO PÚBLICO Y PRIVADO",0,NA,"Zph67rFs4hoC"
"56","Volumen N. 5",0,NA,"MXK_kJrjxJIC"
"57","de Medellín (colombia)",0,NA,"roLk4NBRz8UC"
"58","POBREZAS EN EL BARRIO: LA MIRADA QUE TIENEN JÓVENES DE TRES SECTORES VULNERABLES EN LA CIUDAD DE MEDELLÍN1",0,NA,"LkGwnXOMwfcC"
"59","SISTEMATIZACIÓN DE EXPERIENCIAS PROYECTO:“ASOCIACIÓN DE MEDIOS DE COMUNICACIÓN CIUDADANOS Y COMUNITARIOS DE MEDELLÍN-LA REDECOM–“",0,NA,"_FxGoFyzp5QC"
"60","Infancias migrantes: territorios, trayectos y desplazamientos en"" Montacerdos"", de Cronwell Jara/Childhood Migrants: Territories, Journeys and Displacements, in Cronwell Jara's …",6,2017,"u-x6o8ySG0sC"
"61","Pombo “el poeta de los niños” o un héroe cultural",1,2016,"9yKSN-GCB0IC"
"62","Displaced Childhood in Francisco Leal Quevedo’s El mordisco de la medianoche",0,2022,"Y0pCki6q_DkC"
"63","Infancias desplazadas en El mordisco de la medianoche de Francisco Leal Quevedo",0,2022,"IjCSPb-OGe4C"
"64","Formación ciudadana y participación infantil en contextos municipales: desafíos para la educación inicial",0,2022,"W7OEmFMy1HYC"
"65","Reflexión sobre los contextos de participación en el municipio de Girardota: retos para la educación inicial",0,2021,"Tyk-4Ss8FVUC"
"66","From narratives of violence to narratives of forgiveness: an approach from Colombian journalistic chronicles",0,2021,"zYLM7Y9cAGgC"
"67","De narrativas de la violencia a narrativas del perdón: aproximación desde crónicas periodísticas Colombianas",0,2021,"qjMakFHDy7sC"
"68","Relatos de las infancias migrantes. Trayectos de una infancia desplazada en"" Mambrú perdió la Guerra"" de Irene Vasco",0,2015,"d1gkVwhDpl0C"
"69","Crianza de uno, crianza de todos",0,2011,"2osOgNQ5qMEC"
"70","LA SUBJETIVIDAD DE LA NIÑEZ MIGRANTE: UNA MIRADA CRÍTICA Y CULTURAL",0,NA,"UeHWp8X0CEIC"
"71","Sociedad por acciones simplificada (SAS) flexibiliza el sistema societario en Colombia",15,2013,"IjCSPb-OGe4C"
"72","Prácticas contables y tributarias que adoptan los pequeños negocios en Colombia",6,2019,"u5HHmVD_uO8C"
"73","Medio ambiente, sociedad, ética, auditoría y educación. La Investigación Contable en UNIMINUTO Virtual ya Distancia: Contexto y Oportunidades.",0,2022,"W7OEmFMy1HYC"
"74","Eficacia del sistema tributario bajo las pretensiones del legislativo: análisis de los objetivos propuestos en la Ley 1607 de 2012 y la Ley 1819 de 2016",0,2021,"9yKSN-GCB0IC"
"75","Eficacia Jurídica y Sociológica de la Norma Tributaria en Colombia",0,2021,"zYLM7Y9cAGgC"
"76","Acercamiento teórico a la constitucionalidad del sistema tributario colombiano",0,2021,"_FxGoFyzp5QC"
"77","Eficacia Jurídica y Sociológica de la Norma Tributaria en Colombia.",0,2021,"WF5omc3nYNoC"
"78","Acercamiento teórico a la constitucionalidad del sistema tributario colombiano",0,2021,"Y0pCki6q_DkC"
"79","Approach to the social perception of the Colombian tax system based on a theoretical review",0,2020,"ufrVoPGSRksC"
"80","Memorias de responsabilidad social. Edición 1",0,2019,"eQOLeE2rZwMC"
"81","LA EDUCACIÓN DENTRO DEL MARCO DE LAS PRETENSIONES DE LA AGENDA 2015-2030",0,2019,"qjMakFHDy7sC"
"82","conflicto armado colombiano",0,2018,"Tyk-4Ss8FVUC"
"83","Atención humanitaria",0,2018,"UeHWp8X0CEIC"
"84","Theoretical approach to the constitutionality of the Colombian tax system",0,NA,"YsMSGLbcyi4C"
"85","Incidencia de las medidas de formalización empresarial desde la perspectiva contable y tributaria en el desempeño de los negocios barriales: el caso de la Comuna 10 de Medellín",0,NA,"d1gkVwhDpl0C"
"86","La auditoría fiscal bajo el enfoque del justo tributo The fiscal auditory focusing on the same fear tribute",0,NA,"u-x6o8ySG0sC"
"87","La lucha contra las drogas: fracaso de una guerra, comienzo de una nueva política",85,2016,"Tyk-4Ss8FVUC"
"88","La responsabilidad social empresarial en las empresas del sector minero de metales preciosos Medellín, Colombia",1,2020,"QIV2ME_5wuYC"
"89","El COVID-19 y sus efectos en torno a la desigualdad en américa latina",1,2020,"IWHjjKOFINEC"
"90","Organizational development from a new reality derived from the impact of Covid-19 a conscious look at a Higher Education Institution in Medellin-Colombia: case study",0,2022,"-f6ydRqryjwC"
"91","Diseño de Una estrtegía de Valor compartido para el proyecto Minero dann azul gold",0,2019,"Wp0gIr-vW9MC"
"92","Prohibición e interdicción: una mirada errónea del mercado de las drogas",0,2015,"roLk4NBRz8UC"
"93","Contabilidad y presupuesto público",0,2013,"M3ejUd6NZC8C"
"94","Evaluacion al sistema pensional colombiano: 10 anos despues de su primera reforma",0,2004,"qjMakFHDy7sC"
"95","Valor compartido y planeación estratégica: factores de transformación empresarial en el sector minero",0,NA,"hC7cP41nSMkC"
"96","El costo de oportunidad y su relación con la toma de decisiones estratégicas1",0,NA,"qUcmZB5y_30C"
"97","EL COVID-19 Y SUS EFECTOS EN TORNO A LA DESIGUALDAD EN AMÉRICA LATINA COVID-19 AND ITS EFFECTS AROUND INEQUALITY IN LATIN AMERICA",0,NA,"ZeXyd9-uunAC"
"98","Enseñanza de la contabilidad como disciplina académica: Concepciones de ciencias del profesorado y pensamiento crítico",33,2014,"qjMakFHDy7sC"
"99","Entre la vida académica y la práctica profesional: problemas en la formación de los contables colombianos",19,2014,"9yKSN-GCB0IC"
"100","Lenguaje pedagógico, filosofía e investigación: Relación con la construcción de pensamiento y cultura académica en contabilidad",10,2012,"u-x6o8ySG0sC"
"101","Modelos de conocimiento científico escolar en un grupo de maestros de programas universitarios de Contaduría Pública",9,2016,"UeHWp8X0CEIC"
"102","Antecedentes nacionales e internacionales sobre didáctica específica de la disciplina contable en el siglo XXI",4,2017,"Y0pCki6q_DkC"
"103","El ejercicio del poder desde la evaluación: un campo de indagación para la evolución de la universidad colombiana",1,2019,"hqOjcs7Dif8C"
"104","Construcción de conocimiento científico escolar: una reflexión desde la didáctica sobre enseñanza de las ciencias de la gestión y los estudios organizacionales",0,2020,"qxL8FJ1GzNcC"
"105","National and international antecedents on specific didactics of the accounting discipline in the 21st century",0,2017,"9ZlFYXVOiuMC"
"106","Antecedentes nacionales e internacionales sobre didáctica específica de la disciplina contable en el siglo XXI",0,2017,"LkGwnXOMwfcC"
"107","The teaching of accounting as an academic discipline",0,2017,"Se3iqnhoufwC"
"108","Models of school scientific knowledge in a group of university teachers of Public Accountancy",0,2016,"IjCSPb-OGe4C"
"109","The teaching of accounting as an academic discipline: Concepts of sciences of professorship and critical thinking",0,2014,"2osOgNQ5qMEC"
"110","Problemas éticos del contador público y su relevancia social",0,2009,"u5HHmVD_uO8C"
"111","Modelos de conocimiento científico escolar en un grupo de maestros de programas universitarios de Contaduría Pública*. sophia [online]. 2016, vol. 12, n. 1",0,1794,"mVmsd5A6BfQC"
"112","Modelos de conocimiento científico escolar en un grupo de maestros de programas universitarios de Contaduría Pública* Models of school scientific knowledge in a group of …",0,NA,"Wp0gIr-vW9MC"
"113","Ajuste Curricular y mejora de procesos académicos en la U Católica Luis Amigó",0,NA,"aqlVkmm33-oC"
"114","La importancia del ciclo de caja y cálculo del capital de trabajo en la gerencia PYME",66,2013,"qjMakFHDy7sC"
"115","La planeación financiera: un modelo de gestión en las mipymes",52,2014,"u5HHmVD_uO8C"
"116","Aplicación de inductores generadores de valor para la gestión en microempresas",23,2016,"W7OEmFMy1HYC"
"117","Aplicación de  Inductores Generadores de valor para la Gestión en Microempresas",23,2016,"Tyk-4Ss8FVUC"
"118","MARCO DE REFERENCIA DE LA CONTABILIDAD PÚBLICA GUBERNAMENTAL: DIAGNÓSTICO DEL CUMPLIMIENTO DE LOS PLANES DE SANEAMIENTO FISCAL, FINANCIERO Y CONTABLE DE LOS MUNICIPIOS …",17,2015,"IjCSPb-OGe4C"
"119","Situación del Crowdfunding como mecanismo para la financiación de PyMEs en Colombia",15,2017,"eQOLeE2rZwMC"
"120","Herramienta “Gerencia del Valor” para el diagnóstico financiero en las Empresas Sociales del Estado",13,2017,"Y0pCki6q_DkC"
"121","Nuevas Alternativas De Financiación, Fondeo Y Préstamos a Sectores No Aptos Para El Sistema Financiero Colombiano (New Alternatives for Financing, Funding and Loan Sectors Not …",10,2014,"zYLM7Y9cAGgC"
"122","Sobre la Evaluación Escolar y su Ética",7,2018,"WF5omc3nYNoC"
"123","Ospina",5,2013,"5nxA0vEk-isC"
"124","Planeación, gestión y administración exitosa de un proyecto urbano: transmilenio, el caso del sistema de transporte público de Bogotá",5,2004,"LkGwnXOMwfcC"
"125","No solo de TransMilenio vivirá el transporte",4,2005,"roLk4NBRz8UC"
"126","Sobre el reconocimiento y la otredad en la escuela: una lectura desde Lévinas y Mélich",3,2020,"UebtZRa9Y70C"
"127","Aplicación de los criterios de reconocimiento y medición al momento de identificar errores en la propiedad planta y equipo, inventario y deterioro de cartera de acuerdo con la …",1,2020,"Se3iqnhoufwC"
"128","Propuesta de modelo de Revisoría fiscal para cooperativas del sector de transporte terrestre de carga",0,2022,"MXK_kJrjxJIC"
"129","Diagnóstico del modelo de generación de valor como herramienta para la gestión financiera en instituciones prestadoras de servicios de salud privadas de tercer nivel de …",0,2022,"8k81kl-MbHgC"
"130","El bullying en los escenarios educativos: una posibilidad de repensar el quehacer docente",0,2018,"ufrVoPGSRksC"
"131","Barreras legales para la introducción del Crowdfunding en Colombia: análisis comparativo con España",0,2018,"YsMSGLbcyi4C"
"132","Inductores operativos de valor: ebitda y el capital de trabajo (kt), enfocados hacia la medición del crecimiento en metroseguridad empresa industrial y comercial del Estado",0,2009,"0EnyYjriUFMC"
"133","Barreras legales para la introducción del Crowdfunding en Colombia: análisis comparativo con España Legal barriers",0,NA,"3fE2CSJIrl8C"
"134","La importancia de la planeación financiera en la elaboración de los planes de negocio y su impacto en el desarrollo empresarial",186,2010,"qjMakFHDy7sC"
"135","Análisis financiero integral de empresas colombianas 2009-2010: perspectivas de competitividad regional",89,2013,"zYLM7Y9cAGgC"
"136","Modelo de gestión financiera integral para MIPYMES en Colombia",83,2009,"2osOgNQ5qMEC"
"137","Desempeño financiero empresarial en Colombia en 2009: un análisis por sectores",74,2010,"d1gkVwhDpl0C"
"138","Análisis financiero integral: elementos para el desarrollo de las organizaciones",54,2010,"hqOjcs7Dif8C"
"139","Efectos financieros en una cooperativa colombiana por la implementación de estándares internacionales de información financiera para las pyme en su balance de apertura",40,2014,"ULOm3_A8WrAC"
"140","Análisis financiero integral de empresas colombianas 2009-2012 desde la perspectiva de la competitividad",37,2014,"3fE2CSJIrl8C"
"141","Panorama financiero empresarial en Colombia 2009-2010: un análisis por sectores",33,2011,"_FxGoFyzp5QC"
"142","Mejores prácticas de auditoría interna para la gestión y el control de activos fijos1",32,2017,"eflP2zaiRacC"
"143","Metodologías de valoración de activos tecnológicos. Una revisión",28,2011,"u5HHmVD_uO8C"
"144","El carácter estratégico de la contabilidad en las MIPYMES: el contexto colombiano",25,2008,"UeHWp8X0CEIC"
"145","Análisis del desempeño financiero por regiones de Colombia 2009-2012: un enfoque de evaluación de competitividad territorial",22,2014,"MXK_kJrjxJIC"
"146","Not-invented-here syndrome and innovation performance: the confounding effect of innovation capabilities as organisational routines in service firms",19,2017,"b0M2c_1WBrUC"
"147","Evaluación del desempeño de las cooperativas de ahorro y crédito de Antioquia para el periodo 2009-2013",16,2016,"4OULZ7Gr8RgC"
"148","Contabilidad para MIPYMES en Colombia “contexto y estrategia”",16,2009,"9yKSN-GCB0IC"
"149","Evaluación del desempeño financiero de las regiones en Colombia para el año 2009",14,2013,"W7OEmFMy1HYC"
"150","Evaluación del desempeño financiero de las regiones en Colombia para el año 2009",14,2010,"eJXPG6dFmWUC"
"151","La investigación formativa en programas de contaduría: el caso de la Universidad de Antioquia",13,2019,"7T2F9Uy0os0C"
"152","Es factible en las pymes la valoración y la creación de valor",12,2008,"8k81kl-MbHgC"
"153","Madurez de las capacidades de innovación en empresas colombianas",11,2014,"0EnyYjriUFMC"
"154","Huellas y devenir contable: construyendo las rutas del pensamiento contable",11,2012,"PoWvk5oyLR8C"
"155","El Sistema de Información Contable y las MiPyMEs en Colombia: una relación estratégica",10,2010,"IjCSPb-OGe4C"
"156","El campo de la teoría contable. Distinciones centrales para subrayar el papel de la Universidad de Antioquia en el contexto colombiano",9,2012,"2P1L_qKh6hAC"
"157","Evaluación del desempeño financiero empresarial por sectores en Colombia en 2011",9,2011,"Y0pCki6q_DkC"
"158","Caracterización de la gestión contable y financiera en Mipymes del oriente antioqueño.",8,2017,"PR6Y55bgFSsC"
"159","Reflexiones sobre la investigación contable en Colombia",8,2016,"OU6Ihb5iCvQC"
"160","Aproximación a la valoración del know how de una institución del sistema regional de innovación en Antioquia",8,2015,"r0BpntZqJG4C"
"161","El futuro de las revistas contables colombianas: un debate polifónico",8,2014,"g5m5HwL7SMYC"
"162","El futuro de las revistas contables colombianas: un debate polifónico",8,2014,"UebtZRa9Y70C"
"163","Importance of financial planning in business plan elaboration and its impact on enterprise development",8,2010,"roLk4NBRz8UC"
"164","Prácticas profesionales contables en la empresa privada colombiana 1990-2013",7,2016,"pyW8ca7W8N0C"
"165","Hacia un nuevo planteamiento de la contaduría pública frente a la realidad de las micro, pequeñas y medianas empresas (MIPYMES)",7,2009,"Tyk-4Ss8FVUC"
"166","PRESENTE Y FUTURO DE LA INVESTIGACIÓN CONTABLE EN COLOMBIA",6,2017,"dTyEYWd-f8wC"
"167","Pequeñas empresas productoras de alimentos de Navojoa y su gestión financiera",6,2016,"kuK5TVdYjLIC"
"168","Rendimiento financiero en empresas productoras de cemento, cal y yeso de Antioquia en el período 2008 al 2013 y su relación con el PIB del sector manufacturero",6,2016,"eMMeJKvmdy0C"
"169","Diagnóstico de la gestión financiera integral en las Mipymes de Navojoa, Sonora",6,2015,"z_wVstp3MssC"
"170","Reflexiones sobre la gestión financiera integral en MIPYMES",6,2010,"t7zJ5fGR-2UC"
"171","Contabilidad para MIPYMES en Colombia “contexto y estrategia”",6,2009,"PELIpwtuRlgC"
"172","El nacimiento de la Red Colombiana de Editores y Revistas Contables",5,2015,"XiVPGOgt02cC"
"173","Gestión financiera en las MIPYMES colombianas: diagnóstico y propuestas de mejoramiento en escenarios de competitividad global",5,2012,"EYYDruWGBe4C"
"174","Análisis de la implementación de las NIIF en el sector telecomunicaciones colombiano",4,2018,"dQ2og3OwTAUC"
"175","El proceso de valoración de intangibles a partir del método del costo: un caso de estudio para el Know How",4,2015,"yD5IFk8b50cC"
"176","Algunos aspectos sobre el futuro de la educación contable",3,2017,"VOx2b1Wkg3QC"
"177","Economía, gestión y fútbol: de la pasión a la sostenibilidad financiera",3,2016,"u_35RYKgDlwC"
"178","Algunos escenarios de investigación sobre contabilidad financiera en el contexto internacional",3,2013,"IWHjjKOFINEC"
"179","El control interno y las tecnologías de la información en las MIPYMES del oriente antioqueño: estado actual de su implementación y oportunidades de mejora",2,2021,"tYavs44e6CUC"
"180","Estrategia para la evaluación, formulación y gestión organizacional de los organismos de acción comunal del municipio de Rionegro, Antioquia",2,2017,"V3AGJWp-ZtQC"
"181","Caminos contables",2,2016,"Dip1O2bNi0gC"
"182","Caminos Contables",2,2016,"BUYA1_V_uYcC"
"183","Un punto de partida para la investigación en contabilidad y finanzas: de la representación financiera a la gestión del valor",2,2016,"sSrBHYA8nusC"
"184","Diagnóstico de la gestión financiera integral en la Mipymes Navojoa, Sonora",2,2015,"VLnqNzywnoUC"
"185","Valuation methodologies of technological assets-A review",2,2011,"WF5omc3nYNoC"
"186","Evolución de las prácticas profesionales contables en el relacionamiento de los stakeholders, 2014-2018",1,2020,"j8SEvjWlNXcC"
"187","El sector financiero en Colombia tras la implementación del XBRL como herramienta de control",1,2019,"fEOibwPWpKIC"
"188","Caracterización de la gestión contable y financiera en Mipymes del oriente antioqueño",1,2017,"vDijr-p_gm4C"
"189","EconomÃa, gestiÃ³n y fÃºtbol: de la pasiÃ³n a la sostenibilidad financiera",1,2016,"M7yex6snE4oC"
"190","Caminos contables: problemas y metodologías para el desarrollo de la investigación",1,2016,"ldfaerwXgEUC"
"191","Aproximación a la valoración del know how de una institución del sistema regional de innovación en Antioquia",1,2015,"fQNAKQ3IYiAC"
"192","El proceso de valoración de intangibles a partir del método del costo: un caso de estudio para el Know How",1,2015,"f2IySw72cVMC"
"193","Una aproximación a la contabilidad del capital intelectual en el proceso de toma de decisiones: un estudio en el Oriente antioqueño colombiano",1,2014,"u9iWguZQMMsC"
"194","Financial Effects on a Colombian Cooperative due to the Implementation of the International Financial Reporting Standards for SMEs on their Opening Balance",1,2014,"Wp0gIr-vW9MC"
"195","Analysis of financial performance by regions of Colombia: 2009-2012: an approach of territorial competitiveness evaluation",1,2014,"RYcK_YlVTxYC"
"196","Corporate financial performance in Colombia, 2009: An analysis by sector",1,2010,"XiSMed-E-HIC"
"197","Corporate financial performance in Colombia, 2009: An analysis by sector",1,2010,"eQOLeE2rZwMC"
"198","A IMPORTÂNCIA DO PLANEJAMENTO FINANCEIRO NA PREPARAÇÃO DOS PLANOS DE NEGÓCIO E SEU EFEITO NO DESENVOLVIMENTO EMPRESARIAL",1,2010,"-FonjvnnhkoC"
"199","Incidencia de la composición de juntas directivas y su grado de formación en el desempeño financiero de las empresas colombianas",0,2021,"VaXvl8Fpj5cC"
"200","FINANCIAL INFORMATION IN MSMES OF EAST ANTIOQUIA (COLOMBIA)",0,2021,"BwyfMAYsbu0C"
"201","El control interno y las tecnologías de la información en las MIPYMES del oriente antioqueño: estado actual de su implementación y oportunidades de mejora",0,2021,"gsN89kCJA0AC"
"202","Adopción de estándares de información financiera en el sector telecomunicaciones: conjeturas a partir de una revisión de literatura",0,2020,"0KyAp5RtaNEC"
"203","Relaciones entre proyecto de vida y organizaciones: una mirada metafórica desde la planeación, la formación y la contabilidad",0,2020,"tKAzc9rXhukC"
"204","Clasificación de capacidades organizacionales en organismos comunales de Rionegro-Antioquia",0,2020,"LI9QrySNdTsC"
"205","INFORMACIÓN FINANCIERA EN MIPYMES DEL ORIENTE ANTIOQUEÑO (COLOMBIA).",0,2020,"ML0RJ9NH7IQC"
"206","Información financiera en mipymes del oriente antioqueño (Colombia)",0,2020,"URolC5Kub84C"
"207","Dimensiones de la gestión contable y financiera en MIPYMES",0,2020,"uJ-U7cs_P_0C"
"208","383 DESEMPEÑO DEL EBITDA EN EMPRESAS COLOMBIANAS QUE COTIZAN EN LA BOLSA DE VALORES A PARTIR DEL NIVEL DE FORMACIÓN Y COMPOSICIÓN DE LAS JUNTAS DIRECTIVAS EN EL PERIODO 2010-2014",0,2018,"HE397vMXCloC"
"209","Análisis de la implementación de las NIIF en el sector telecomunicaciones colombiano",0,2018,"e_rmSamDkqQC"
"210","Evolución de la contaduría pública en el municipio de Sincelejo-Sucre (1966-2017)",0,2017,"B3FOqHPlNUQC"
"211","Estrategia para la evaluación, formulación y gestión organizacional de los organismos de acción comunal del municipio de Rionegro, Antioquia",0,2017,"SdhP9T11ey4C"
"212","EconomÃa, gestiÃ³n y fÃºtbol: de la pasiÃ³n a la sostenibilidad financiera",0,2016,"S16KYo8Pm5AC"
"213","Palabras para el profesor Mario Biondi",0,2016,"p2g8aNsByqUC"
"214","Rendimiento financiero en empresas productoras de cemento, cal y yeso de Antioquia en el período 2008 al 2013 y su relación con el PIB",0,2016,"pqnbT2bcN3wC"
"215","Desarrollos normativos contables: de la distopía normativa a la utopía regulativa",0,2016,"geHnlv5EZngC"
"216","La importante labor colaborativa de las redes de trabajo",0,2016,"Tiz5es2fbqcC"
"217","Approche à l'évaluation du know how d'un établissement du système régional d'innovation à Antioquia",0,2015,"WZBGuue-350C"
"218","Editorial Edición N° 6",0,2015,"_Ybze24A_UAC"
"219","Approximate value of the know-how of an institution of the regional innovation system in Antioquia",0,2015,"4JMBOYKVnBMC"
"220","The Future of Colombian Accounting Journals: a Polyphonic Debate",0,2014,"HoB7MX3m0LUC"
"221","INTEGRAL FINANCIAL ANALYSIS OF COLOMBIAN COMPANIES 2009-2012 FROM THE COMPETITIVENESS PERSPECTIVE",0,2014,"KlAtU1dfN6UC"
"222","Comprehensive financial analysis of colombian businesses 2009-2010: Perspectives of regional competitiveness",0,2013,"ufrVoPGSRksC"
"223","Huellas y devenir contable: construyendo las rutas del pensamiento contable",0,2012,"BrmTIyaxlBUC"
"224","Financial Overview Business in Colombia 2009-2010: a sectoral analysis",0,2011,"LkGwnXOMwfcC"
"225","Evaluación del desempeño financiero empresarial por sectores en Colombia en 2011",0,2011,"_B80troHkn4C"
"226","Panorama financiero empresarial en Colombia 2009-2010: un análisis por sectores",0,2011,"uWQEDVKXjbEC"
"227","La factura de venta, una herramienta jurídico-financiera de las empresas",0,2010,"9vf0nzSNQJEC"
"228","Hacia un nuevo planteamiento de la contaduría pública frente a la realidad de las micro, pequeñas y medianas empresas (MIPYMES)",0,2009,"lmc2jWPfTJgC"
